1,1,10,10.02,Parcial,Mejorar,03/01/2025,Dr. Sánchez,39
2,2,5,19.61,Final,Desempeño bajo,05/01/2025,Dra. Navarro,1
3,3,9,9.13,Parcial,Buen desempeño en el examen,06/01/2025,Dr. Sánchez,42
4,4,21,13.15,Parcial,Cumplió con todos los criterios,08/01/2025,Ing. Díaz,25
5,5,25,9.22,Final,Buen desempeño en el examen,09/01/2025,Dra. Rojas,39
6,6,8,12.89,Parcial,Recuperación aprobada,15/01/2025,Ing. Bravo,28
7,7,8,10.44,Parcial,Buena mejora,21/01/2025,Dr. Ramírez,26
8,8,22,11.13,Final,Buena mejora,22/01/2025,Dra. León,17
9,9,18,10.38,Sustitutorio,Examen perfecto,03/02/2025,Ing. Chávez,11
10,10,15,8.57,Parcial,Refuerze le fato 4pt,07/02/2025,Lic. Mendoza,47
11,11,11,10.69,Final,Buen desempeño en el examen,09/02/2025,Dra. León,25
12,12,10,17.91,Sustitutorio,Buen desempeño en el examen,19/02/2025,Ing. Bravo,13
13,13,30,11.24,Final,Recuperación aprobada,22/02/2025,Dra. Navarro,45
14,14,9,11.65,Parcial,Cumplió con todos los criterios,26/02/2025,Ing. Chávez,7
15,15,16,17.54,Parcial,Buena mejora,27/02/2025,Lic. Romero,21
16,16,6,18.29,Parcial,Buen desempeño en el examen,28/02/2025,Ing. Díaz,18
17,17,4,13.46,Sustitutorio,Cumplió con todos los criterios,01/03/2025,Ing. Bravo,4
18,18,11,19.69,Parcial,Buena mejora,02/03/2025,Lic. Huamán,44
19,19,14,18.84,Sustitutorio,Necesita reforzar,05/03/2025,Lic. Mendoza,13
20,20,29,12.16,Final,Desempeño bajo,10/03/2025,Dr. Torres,2
21,21,24,9.9,Sustitutorio,Faltó a 2 prácticas,15/03/2025,Dr. López,50
22,22,26,18.86,Final,Participación activa en clase,18/03/2025,Ing. Díaz,15
23,23,3,15.11,Sustitutorio,Recuperación aprobada,30/03/2025,Dr. Torres,6
24,24,9,10.48,Final,Participación activa en clase,04/04/2025,Dr. López,5
25,25,3,10.08,Final,Faltó a 2 prácticas,18/04/2025,Dra. León,12
26,26,2,10.63,Sustitutorio,Buen desempeño en el examen,20/04/2025,Lic. Romero,50
27,27,15,12.59,Parcial,Necesita reforzar,22/04/2025,Dra. Navarro,48
28,28,11,17.17,Sustitutorio,Recuperación aprobada,23/04/2025,Ing. Díaz,35
29,29,30,11.75,Sustitutorio,Buen desempeño en el examen,24/04/2025,Ing. Díaz,40
30,30,22,16.78,Sustitutorio,Recuperación aprobada,27/04/2025,Lic. Mendoza,19
31,31,28,9.17,Sustitutorio,Examen perfecto,02/05/2025,Dra. Navarro,2
32,32,24,18.82,Sustitutorio,Buen desempeño en el examen,08/05/2025,Dr. Sánchez,18
33,33,25,18.76,Sustitutorio,Buen desempeño en el examen,14/05/2025,Ing. Bravo,6
34,34,13,14.87,Parcial,Participación activa en clase,15/05/2025,Lic. Campos,40
35,35,21,15.72,Parcial,Buena mejora,17/05/2025,Dr. Ramírez,40
36,36,26,12.29,Sustitutorio,Necesita reforzar,24/05/2025,Ing. Chávez,2
37,37,6,8.63,Parcial,Desempeño bajo,26/05/2025,Dr. Ramírez,7
38,38,21,10.61,Final,Buen desempeño en el examen,30/05/2025,Ing. Bravo,21
39,39,4,15.29,Parcial,Buen desempeño en el examen,08/06/2025,Dr. Ramírez,37
40,40,12,10.74,Final,Cumplió con todos los criterios,10/06/2025,Dr. Ramírez,32
41,41,6,13.18,Sustitutorio,Desempeño bajo,11/06/2025,Ing. Chávez,27
42,42,24,8.81,Sustitutorio,Desempeño bajo,17/06/2025,Dr. López,13
43,43,26,18.97,Sustitutorio,Faltó a 2 prácticas,20/06/2025,Ing. Bravo,25
44,44,15,12.16,Sustitutorio,Desempeño bajo,22/06/2025,Dr. Sánchez,10
45,45,26,17.94,Sustitutorio,Recuperación aprobada,24/06/2025,Dr. Sánchez,21
46,46,26,11.24,Final,Cumplió con todos los criterios,28/06/2025,Dra. León,7
47,47,15,18.74,Parcial,Examen perfecto,30/06/2025,Dra. Rojas,35
48,48,25,17.64,Parcial,Recuperación aprobada,02/07/2025,Dr. Ramírez,38
49,49,8,11.53,Final,Desempeño bajo,04/07/2025,Lic. Mendoza,49
50,50,30,9.28,Sustitutorio,Examen perfecto,06/07/2025,Ing. Chávez,11
51,51,10,10.82,Sustitutorio,Faltó a 2 prácticas,09/07/2025,Dr. López,46
52,52,14,12.59,Parcial,Desempeño bajo,12/07/2025,Ing. Bravo,39
53,53,24,10.29,Parcial,Cumplió con todos los criterios,19/07/2025,Lic. Romero,6
54,54,21,8.28,Sustitutorio,Examen perfecto,20/07/2025,Dr. López,43
55,55,21,9.23,Final,Buen desempeño en el examen,26/07/2025,Dra. Navarro,9
56,56,21,8.71,Sustitutorio,Faltó a 2 prácticas,28/07/2025,Lic. Mendoza,38
57,57,14,15.37,Final,Faltó a 2 prácticas,29/07/2025,Dra. Rojas,15
58,58,3,19.57,Final,Recuperación aprobada,03/08/2025,Lic. Huamán,28
59,59,24,11.33,Parcial,Cumplió con todos los criterios,09/08/2025,Lic. Huamán,4
60,60,12,16.09,Final,Necesita reforzar,15/08/2025,Dra. Navarro,7
61,61,23,12.78,Parcial,Necesita reforzar,19/08/2025,Dr. Sánchez,6
62,62,18,19.79,Final,Necesita reforzar,24/08/2025,Ing. Bravo,6
63,63,29,17.99,Sustitutorio,Desempeño bajo,25/08/2025,Dr. López,11
64,64,29,16.05,Final,Buen desempeño en el examen,27/08/2025,Lic. Mendoza,1
65,65,21,14.23,Sustitutorio,Necesita reforzar,30/08/2025,Lic. Mendoza,34
66,66,8,11.1,Sustitutorio,Le falto Poco,31/08/2025,Dra. Rojas,3
67,67,6,10.02,Final,Buen desempeño en el examen,10/09/2025,Lic. Huamán,21
68,68,29,10.02,Parcial,Recuperación aprobada,16/09/2025,Dr. Torres,3
69,69,23,17.88,Parcial,Cumplió con todos los criterios,20/09/2025,Lic. Mendoza,3
70,70,20,17.73,Final,Examen perfecto,24/09/2025,Dr. Sánchez,43
71,71,29,13.66,Sustitutorio,Necesita reforzar,25/09/2025,Dr. Ramírez,50
72,72,23,16.4,Parcial,Recuperación aprobada,28/09/2025,Lic. Huamán,44
73,73,16,10.25,Sustitutorio,Buen desempeño en el examen,29/09/2025,Dr. Ramírez,4
74,74,26,16.56,Sustitutorio,Examen perfecto,30/09/2025,Dra. Navarro,6
75,75,2,15.2,Final,Buena mejora,04/10/2025,Dra. Navarro,4
76,76,21,11.43,Final,Recuperación aprobada,10/10/2025,Dra. León,44
77,77,12,10.41,Sustitutorio,Participación activa en clase,11/10/2025,Lic. Campos,17
78,78,16,15.49,Sustitutorio,Faltó a 2 prácticas,15/10/2025,Lic. Campos,4
79,79,7,11.53,Parcial,Recuperación aprobada,16/10/2025,Lic. Mendoza,41
80,80,12,14.05,Sustitutorio,Examen perfecto,19/10/2025,Lic. Mendoza,1
81,81,2,17.2,Parcial,Examen perfecto,22/10/2025,Ing. Chávez,26
82,82,12,10.68,Parcial,Examen perfecto,23/10/2025,Dr. Torres,17
83,83,13,17.63,Final,Buen desempeño en el examen,25/10/2025,Dr. Sánchez,34
84,84,13,9.23,Sustitutorio,Faltó a 2 prácticas,26/10/2025,Lic. Campos,11
85,85,29,8.3,Sustitutorio,Necesita reforzar,30/10/2025,Dra. Navarro,19
86,86,20,16.84,Parcial,Necesita reforzar,03/11/2025,Ing. Chávez,21
87,87,6,13.24,Sustitutorio,Examen perfecto,07/11/2025,Lic. Huamán,36
88,88,19,14.23,Parcial,Buena mejora,11/11/2025,Ing. Chávez,29
89,89,24,18.1,Final,Buena mejora,15/11/2025,Dr. Torres,24
90,90,20,11.7,Sustitutorio,Desempeño bajo,16/11/2025,Lic. Romero,22
91,91,18,11.99,Sustitutorio,Buen desempeño en el examen,19/11/2025,Dra. Navarro,29
92,92,28,16.46,Sustitutorio,Necesita reforzar,22/11/2025,Ing. Bravo,7
93,93,20,15.32,Parcial,Buena mejora,23/11/2025,Dr. Torres,50
94,94,19,13.55,Sustitutorio,Recuperación aprobada,26/11/2025,Dr. Torres,28
95,95,18,13.59,Parcial,Participación activa en clase,07/12/2025,Ing. Díaz,14
96,96,29,18.66,Final,Desempeño bajo,14/12/2025,Ing. Díaz,3
97,97,12,10.84,Parcial,Participación activa en clase,21/12/2025,Ing. Chávez,35
98,98,3,9.93,Parcial,Participación activa en clase,23/12/2025,Dr. Torres,43
99,99,16,18.71,Sustitutorio,Examen perfecto,26/12/2025,Ing. Chávez,37
100,100,1,9.63,Sustitutorio,Desempeño bajo,28/12/2025,Dra. Navarro,49
101,101,21,6.3,Parcial,Mejorar que aun puede,13/01/2025,Adriano Ramos,5
